NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
15	15	5	8	10	5	4	4	5	10	5	0
14	0	20	14	7	8	0	5	0	6	5	7
0	0	7	0	12	4	0	0	9	0	54	0
0	0	0	0	0	0	0	0	15	0	36	35
21	40	0	24	0	0	0	0	0	0	0	0
13	12	11	19	7	9	0	0	8	6	0	0
0	0	0	0	6	0	8	17	19	0	18	17
26	0	0	23	28	0	0	7	0	0	0	0
24	0	25	35	0	0	0	0	0	0	0	0
15	24	13	18	0	0	0	14	0	0	0	0
11	11	0	0	11	0	0	0	17	13	21	0
8	0	0	8	8	0	10	0	30	0	0	20
0	0	0	0	0	0	16	0	12	56	0	0
0	0	0	0	0	0	7	41	36	0	0	0
0	0	0	0	0	0	0	0	0	0	84	0
18	5	12	20	16	0	0	4	4	0	4	0
18	0	15	23	0	11	0	10	0	0	0	6
16	15	14	12	9	0	0	0	7	5	0	5
13	8	14	9	14	11	0	0	5	9	0	0
12	0	0	17	16	19	0	0	19	0	0	0
0	0	35	48	0	0	0	0	0	0	0	0
20	9	13	17	6	9	0	8	0	0	0	0
16	15	21	11	11	8	0	0	0	0	0	0
0	0	47	0	0	0	0	19	0	0	0	16
0	0	4	6	3	0	7	20	0	13	7	22
0	0	0	0	48	21	0	0	13	0	0	0
20	15	0	14	16	9	0	0	0	7	0	0
6	0	0	0	7	0	0	17	0	9	27	15
0	13	16	0	11	0	0	6	9	17	0	9
19	8	16	20	8	0	4	0	0	0	5	0
17	7	10	17	7	12	0	4	5	0	0	0
10	27	19	0	13	10	0	0	0	0	0	0
21	2	16	25	6	4	0	0	0	4	0	0
19	25	12	0	0	18	0	4	0	0	0	0
13	8	0	15	0	25	0	0	0	0	17	0
13	9	6	8	15	4	0	4	4	7	4	4
12	9	18	12	0	27	0	0	0	0	0	0
0	0	30	0	0	16	0	0	7	25	0	0
7	0	7	5	7	7	5	6	13	6	6	8
7	35	5	6	10	14	0	0	0	0	0	0
19	11	18	9	0	10	0	0	0	9	0	0
17	7	9	13	12	8	0	0	0	0	10	0
15	0	0	17	17	14	0	7	0	0	6	0
12	13	16	12	11	12	0	0	0	0	0	0
